Year,Revenue_USD_M,Net_Income_USD_M,Total_Assets_USD_M,R&D_Expenditure_USD_M,R&D_Intensity_Pct,Patent_Applications_Filed,Frontier_Tech_Research_Index,Total_Employees,International_Employees_Pct,Countries_with_Presence,International_Sales_Pct,Emerging_Markets_Sales_Pct,Developed_Markets_Sales_Pct,Services_Revenue_Share_Pct,Customized_Solutions_Count,Customer_CoCreation_Projects,Customer_Satisfaction_Index,Service_24_7_Coverage_Pct,Product_Development_Cycle_Weeks,Cross_Departmental_Projects,Frontline_Decision_Authority_Index,Organizational_Structure_Type,Strategic_Partnerships_Count,JV_Count,University_Collaborations,Tech_Partnership_Agreements,Ecosystem_Partners_Count,Country_of_Origin_Perception_Index,Analyst_Strategy_Clarity_Rating,Brand_Premium_Index,Government_Credit_Lines_USD_M,Geopolitical_Risk_Score,Employee_Engagement_Score,Training_Hours_Per_Employee,New_Products_Launched,Digital_Maturity_Score
2001,5000.0,286.36,9413.49,340.0,6.8,206,36.0,19323,8.92,6,25.87,85.3,14.7,19.03,59,2,70.7,26.56,62.2,5,17.3,Transitional,71,5,4,7,175,55.5,57.4,33.9,11605.77,22.3,56.2,23.1,15,35.7
2002,6708.2,384.62,10930.33,692.53,10.32,288,43.0,26988,8.13,8,25.07,84.65,15.35,24.9,47,8,75.6,35.78,56.9,7,19.8,Transitional,89,12,10,18,316,63.1,63.0,35.5,11855.84,25.2,58.6,28.3,24,44.5
2003,9000.0,559.53,19608.38,832.88,9.25,346,43.8,41225,9.29,10,29.79,73.63,26.37,23.55,69,12,78.6,53.63,55.2,12,22.3,Transitional,77,7,9,27,509,69.2,70.0,38.6,12203.56,26.5,60.0,33.6,27,45.1
2004,12000.0,1274.85,24511.12,1229.27,10.24,320,47.1,47200,11.72,12,37.54,70.5,29.5,24.14,59,8,80.8,58.52,44.4,11,26.2,Transitional,104,8,16,36,458,59.6,62.7,39.1,12882.15,29.9,61.1,39.0,30,55.4
2005,16000.0,1625.56,34522.39,1648.12,10.3,410,45.7,58893,13.39,14,39.74,65.19,34.81,28.97,75,15,81.4,67.82,41.9,13,26.7,Transitional,115,9,25,45,795,78.5,81.0,48.9,13737.87,32.7,61.8,38.4,23,49.1
2006,22000.0,2080.35,46780.34,3502.05,15.92,793,54.2,46000,14.36,23,43.96,64.02,35.98,32.05,126,12,76.8,66.49,40.4,15,29.8,Transitional,205,19,30,36,716,63.0,67.6,44.2,13248.2,32.3,66.3,47.9,33,54.6
2007,29664.79,3280.71,56912.79,4612.94,15.55,1166,58.0,73014,15.81,31,47.73,58.58,41.42,35.77,176,28,78.4,74.16,39.0,17,33.4,Transitional,274,23,21,42,1198,65.0,69.2,48.7,13511.94,36.4,64.7,42.5,45,58.4
2008,40000.0,3478.99,85812.48,6619.54,16.55,1337,59.3,81000,19.16,39,52.0,54.28,45.72,36.08,182,32,79.7,78.14,37.1,47,41.1,Transitional,421,27,24,56,1274,68.8,73.6,53.7,13856.59,37.1,69.5,57.5,58,59.7
2009,48000.0,4541.15,74973.35,7146.65,14.89,2256,64.2,88534,21.4,47,55.5,53.02,46.98,40.32,232,38,79.5,91.24,36.0,65,50.0,Transitional,528,31,27,45,986,75.8,76.7,56.0,14008.05,42.1,63.9,55.4,69,65.3
2010,55856.96,5491.75,91448.34,7528.61,13.48,2120,74.1,93292,24.18,55,60.36,52.85,47.15,42.19,285,47,84.1,85.59,34.9,94,55.3,Transitional,680,40,40,90,1980,74.9,75.3,55.9,15345.15,48.0,67.5,62.4,75,73.6
2011,65000.0,6682.23,99557.84,10304.44,15.85,2762,70.9,112219,25.71,67,66.87,51.08,48.92,46.03,260,61,85.9,87.42,32.8,109,64.6,Decentralized,790,33,73,108,4233,75.9,78.7,64.4,14344.42,47.9,71.8,72.2,91,79.1
2012,72391.07,10805.0,125072.31,11613.8,16.04,2887,73.0,123822,27.18,79,61.49,50.24,49.76,46.3,290,81,86.4,90.94,31.3,134,70.9,Decentralized,842,36,84,120,6524,82.9,84.6,69.2,15501.47,54.5,74.4,71.8,102,77.5
2013,80622.58,9673.39,142869.19,12291.0,15.25,4012,81.8,132202,28.65,91,63.81,48.66,51.34,47.24,432,75,89.6,92.64,31.1,161,75.2,Decentralized,868,55,95,146,8972,79.8,87.0,75.9,15584.95,52.5,82.5,78.4,113,81.7
2014,89790.08,12185.57,151740.24,14441.72,16.08,3902,94.7,143372,28.85,103,64.3,46.09,53.91,56.84,359,109,89.9,94.69,26.3,180,80.3,Decentralized,892,42,126,172,9600,79.4,84.7,74.8,17452.42,60.2,84.0,93.0,124,93.5
2015,100000.0,13962.07,208011.63,14975.18,14.98,4200,84.8,147440,36.4,115,65.4,45.39,54.61,58.39,530,116,87.1,97.84,25.3,240,84.8,Decentralized,1220,55,155,180,12615,82.6,87.1,72.6,15336.12,64.6,84.3,100.1,135,91.7
2016,105311.62,11828.87,184266.62,17998.74,17.09,6782,87.3,171856,36.97,127,69.15,41.3,58.7,51.86,474,119,88.8,98.0,23.4,256,86.5,Decentralized,2211,65,165,225,13766,81.1,86.4,67.3,18179.57,59.2,79.9,89.3,139,82.0
2017,110905.37,15568.59,188168.06,18532.47,16.71,9914,90.0,176713,37.57,139,70.34,40.16,59.84,52.5,514,130,89.4,98.0,22.1,294,88.5,Decentralized,3238,72,170,254,18652,82.3,88.0,69.7,18587.79,62.9,80.8,93.8,164,85.8
2018,116796.23,13843.41,219563.74,17638.19,15.1,11396,89.4,185304,38.92,151,72.09,39.1,60.9,53.12,586,154,90.6,98.0,21.0,346,88.3,Decentralized,4317,75,192,258,21754,83.4,89.9,72.9,18819.3,66.5,82.6,97.3,177,86.7
2019,123000.0,13930.07,196633.58,18980.83,15.43,13508,94.8,204382,40.94,163,70.92,39.86,60.14,55.21,680,176,90.2,98.0,20.0,412,90.3,Decentralized,5984,88,206,298,26000,86.6,90.5,75.3,19053.66,69.8,85.6,99.0,208,90.3
2020,136000.0,21412.42,280369.15,20570.97,15.13,17360,93.7,197385,42.24,175,73.0,38.98,61.02,57.69,650,220,93.6,98.0,21.4,430,90.4,Decentralized,5425,105,225,315,26000,85.9,92.3,76.8,18757.9,75.0,86.1,103.5,240,90.8
